,category,hour,location,name,price,url,year
700,FORKLIFTS,7835Hours,"Yuma,AZ,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FGC25N 2006,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FGC25N/2493925/detail_view.html,2006
701,FORKLIFTS,0Hours,"Fresno,CA,UnitedStates",RAYMOND FORKLIFTS 218-OPC22 2006,$Call,/en/RAYMOND/FORKLIFTS/218-OPC22/2497769/detail_view.html,2006
702,FORKLIFTS,7865Hours,"Oxnard,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FGC30 2004,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FGC30/2514716/detail_view.html,2004
703,MOTOR GRADERS,2077Hours,"Albuquerque,NM,UnitedStates",CATERPILLAR MOTOR GRADERS 140M2 AWD 2014,"NT$11,251,172TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M2%20AWD/2407268/detail_view.html,2014
704,MOTOR GRADERS,2954Hours,"Albuquerque,NM,UnitedStates",CATERPILLAR MOTOR GRADERS 140M 2011,"NT$5,580,340TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M/1711097/detail_view.html,2011
705,MOTOR GRADERS,1650Hours,"Windsor,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 AWD 2015,"NT$16,482,393TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3%20AWD/2159467/detail_view.html,2015
706,MOTOR GRADERS,821Hours,"Hayden,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 160M3 2015,"NT$16,236,074TWD",/en/CATERPILLAR/MOTOR%20GRADERS/160M3/2221335/detail_view.html,2015
707,MOTOR GRADERS,1999Hours,"Durango,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 2015,"NT$14,444,333TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3/2124990/detail_view.html,2015
708,MOTOR GRADERS,1864Hours,"Durango,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 2015,"NT$14,444,333TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3/2122500/detail_view.html,2015
709,MOTOR GRADERS,1048Hours,"CO,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 2015,"NT$14,441,467TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3/2157469/detail_view.html,2015
710,MOTOR GRADERS,2031Hours,"Aurora,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 2014,"NT$14,215,750TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3/2184029/detail_view.html,2014
711,MOTOR GRADERS,2444Hours,"Aurora,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 140M2 AWD 2014,"NT$13,913,959TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M2%20AWD/1994044/detail_view.html,2014
712,MOTOR GRADERS,1883Hours,"Imperial,CA,UnitedStates",CATERPILLAR MOTOR GRADERS 14M 2016,"NT$13,792,187TWD",/en/CATERPILLAR/MOTOR%20GRADERS/14M/2425211/detail_view.html,2016
713,MOTOR GRADERS,1904Hours,"Durango,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 140M2 2014,"NT$13,729,747TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M2/2012746/detail_view.html,2014
714,MOTOR GRADERS,779Hours,"Albuquerque,NM,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2015,"NT$13,608,488TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2137585/detail_view.html,2015
715,MOTOR GRADERS,1130Hours,"Durango,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2015,"NT$13,310,407TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2184059/detail_view.html,2015
716,MOTOR GRADERS,2055Hours,"Windsor,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 2014,"NT$13,128,368TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3/2185059/detail_view.html,2014
717,MOTOR GRADERS,2572Hours,"Mesa,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 14M3 2015,"NT$12,912,484TWD",/en/CATERPILLAR/MOTOR%20GRADERS/14M3/2472001/detail_view.html,2015
718,MOTOR GRADERS,2087Hours,"Albuquerque,NM,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 2014,"NT$12,515,315TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3/2020243/detail_view.html,2014
719,MOTOR GRADERS,47Hours,"ApacheJunction,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 BR 2016,"NT$12,293,639TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3%20BR/2460445/detail_view.html,2016
720,MOTOR GRADERS,2103Hours,"GrandJunction,CO,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 AWD 2014,"NT$11,914,780TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3%20AWD/2340241/detail_view.html,2014
721,MOTOR GRADERS,553Hours,"Prescott,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 AWD 2016,"NT$11,813,549TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3%20AWD/2380993/detail_view.html,2016
722,MOTOR GRADERS,377Hours,"Phoenix,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 2016,"NT$11,755,272TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3/2460443/detail_view.html,2016
723,MOTOR GRADERS,390Hours,"ShowLow,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 2016,"NT$11,733,072TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3/2460444/detail_view.html,2016
724,MOTOR GRADERS,634Hours,"Safford,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 12M3 AWD 2016,"NT$11,691,445TWD",/en/CATERPILLAR/MOTOR%20GRADERS/12M3%20AWD/2362166/detail_view.html,2016
725,MOTOR GRADERS,525Hours,"Flagstaff,AZ,UnitedStates",CATERPILLAR MOTOR GRADERS 140M3 2016,"NT$11,524,940TWD",/en/CATERPILLAR/MOTOR%20GRADERS/140M3/2460442/detail_view.html,2016
